LFDNR;Z_BEGR1;STATUS;BEH_ART;RECHTSWERT;HOCHWERT
183;N;A;10;406184,039;5757295,752
268;N;A;10;405268;5757896
209;N;A;10;406045,09;5757115,825
269;N;A;10;405277;5757900
384;N;A;10;401894;5759508
448;N;A;10;411220,123;5760666,345
123;N;A;10;406115,06;5757010,866
205;N;A;10;404879;5757510
271;N;A;10;405161;5757726
275;N;A;10;405169;5757765
278;N;A;10;405114,477;5757576,658
280;J;A;10;405931;5757932
360;N;A;10;405294,423;5758237,397
370;N;A;10;405551,284;5757059,854
400;N;A;10;401555;5758100
426;N;A;10;402241;5754317
432;N;A;10;405594;5757704
463;N;A;10;404309,614;5749261,946
501;N;A;10;405985,133;5757781,561
502;N;A;10;405896;5757790
504;N;A;10;405971,14;5757851,534
505;N;A;10;405807,209;5757966,493
522;N;A;10;405787,219;5758026,47
530;N;A;10;405702,259;5758250,385
68;N;A;10;405872,162;5757286,759
220;N;A;10;406008,107;5757232,779
308;N;A;10;405080,501;5757872,541
441;N;A;10;410578;5760425
469;N;A;10;407383;5751304
479;N;A;10;406409,819;5750862,282
491;N;A;10;405405;5758024
550;N;A;10;406133,073;5757772,562
144;N;A;10;406356,961;5756901,907
171;N;A;10;406433,937;5757175,796
390;N;A;10;399145;5757039
440;N;A;10;399060;5753494
451;N;A;10;410796,285;5760314,491
470;N;A;10;407407,43;5751225,124
474;N;A;10;406647;5751234
475;N;A;10;406747;5751245
478;N;A;10;406630,728;5750668,358
62;J;A;10;405838;5757599
87;N;A;10;405778,193;5757013,869
213;N;A;10;406111,067;5757244,773
381;J;A;10;402298;5758648
430;N;A;10;401961;5754854
453;N;A;10;405617;5757930
457;N;A;10;405491;5757950
1344;N;A;10;405366;5758411
1024;N;A;10;406517,905;5757237,77
1340;N;A;10;408468;5753820
1342;N;A;10;405354;5757406
1350;N;A;10;405537;5756042
1354;J;A;10;405953;5756369
599;N;A;10;407353;5760570
602;N;A;10;407227,732;5761568,052
480;N;A;10;406424,814;5750988,231
587;N;A;10;405654,278;5758238,391
612;N;A;10;404931,657;5762159,846
1384;N;A;10;403890,958;5757417,738
1028;N;A;10;412956;5752578
1110;N;A;10;401176;5761867
1115;N;A;10;401361;5764434
1116;N;A;10;405536;5754313
1343;N;A;10;399214,787;5757049,959
1365;N;A;10;406271;5757559
1368;N;A;10;404509,75;5758925,132
1370;N;A;10;406952;5757393
1385;N;A;10;403941,935;5757336,769
1395;N;A;10;410010;5755964
1399;N;A;10;406050;5758111
1404;N;A;10;406708;5751374
609;N;A;10;404087,97;5761429,15
873;N;A;10;406375,946;5756563,042
1348;N;A;10;404734;5757265
1349;N;A;10;404419;5757075
1358;N;A;10;405747;5757841
1360;N;A;10;404609,591;5754270,972
1363;N;A;10;405990;5756486
1373;N;A;10;405700;5755975
1389;N;A;10;404822;5758765
1410;N;A;10;406435;5757977
1411;N;A;10;406489;5758140
1412;N;A;10;407511;5758849
1413;J;A;10;404080,878;5757307,777
1414;J;A;10;405337;5758714
1417;N;A;10;406870;5757597
1419;N;A;10;405035,483;5756891,93
1421;J;A;10;402981,323;5757513,716
1422;N;A;10;404899;5758388
1423;J;A;10;405267,374;5755920,309
605;N;A;10;406418,017;5760149,618
1318;J;A;10;407094;5757905
1347;N;A;10;407474;5757456
1351;N;A;10;405749,184;5756111,23
1424;N;A;10;403747;5756908
1426;N;A;10;401096;5758914
1427;N;A;10;406711,845;5757929,491
1428;N;A;10;406287,031;5758488,281
1429;N;A;10;403611;5756427
607;N;A;10;406330,055;5760250,578
987;N;A;10;406660;5756941
1029;N;A;10;412389;5752467
1117;N;A;10;405346,292;5753943,094
611;N;A;10;404356,881;5762109,876
1668;N;A;10;403351,201;5758565,292
1674;N;A;10;404604;5757534
1678;J;A;10;412674;5752688
1339;N;A;10;407002,719;5757837,532
1357;N;A;10;406760;5757187
1361;N;A;10;405161;5755268
1372;N;A;10;407086,558;5751284,105
1375;N;A;10;404606;5757444
1376;N;A;10;409186;5753152
1377;N;A;10;406080,949;5751012,227
1379;N;A;10;407081;5757540
596;N;A;10;406201;5751396
1341;N;A;10;408480;5753802
1359;N;A;10;404705,554;5754293,962
1371;N;A;10;405729;5756893
1380;N;A;10;404765,582;5756646,028
1381;J;A;10;405429;5758629
1383;J;A;10;405544;5756465
1386;N;A;10;404080,977;5761616,076
1388;N;A;10;405905;5758405
1390;N;A;10;406310;5757820
1391;N;A;10;410615;5753231
1393;N;A;10;401081;5761774
1394;J;A;10;406085,951;5751255,131
1396;N;A;10;405001;5758399
1400;N;A;10;407833;5757379
1401;N;A;10;407865;5757364
1402;N;A;10;406040,131;5758583,247
1403;N;A;10;404289,755;5755748,389
1408;N;A;10;407463,56;5758323,329
1463;N;A;10;404724,74;5761930,941
1519;N;A;10;411579;5762338
1551;N;A;10;411587;5752493
1645;N;A;10;406448;5756472
1646;N;A;10;406462;5756472
1686;N;A;10;406380,831;5750940,251
388;N;A;10;398780,955;5756985,992
439;N;A;10;398432;5753696
517;N;A;10;405859,193;5758174,411
1488;N;A;10;405265,375;5755912,313
1505;N;A;10;403958,928;5757321,774
1537;N;A;10;406932;5755838
1538;N;A;10;406940;5755836
1614;N;A;10;406052;5751520
1629;N;A;10;405179,438;5757232,793
1662;N;A;10;403612,887;5749142,006
1692;N;A;10;409824;5752425
1431;N;A;10;404340,742;5756192,209
476;N;A;10;407537,343;5749592,762
1558;J;A;10;405593,263;5756903,916
1609;J;A;10;405363,341;5756332,148
1615;J;A;10;406124;5751419
1627;J;A;10;405739;5758604
1669;N;A;10;406817;5755274
197;N;A;10;405683,228;5756907,913
1510;N;A;10;407074,716;5758324,333
1536;N;A;10;401151;5761859
1539;N;A;10;403993,846;5754845,754
1588;N;A;10;405602,246;5756349,138
1590;N;A;10;401767;5759245
1687;N;A;10;405987;5751673
1439;N;A;10;404609,644;5756636,032
1586;N;A;10;410593;5760499
1626;N;A;10;404399,809;5759931,736
1628;J;A;10;406005,114;5757437,698
1688;N;A;10;405971;5751741
1430;N;A;10;405140,428;5756118,233
1498;N;A;10;406383;5757862
1508;N;A;10;407517;5761211
401;N;A;10;401542;5758109
1545;N;A;10;402373;5758321
1608;N;A;10;405592,277;5757368,731
1458;N;A;10;405259;5758431
1500;N;A;10;406315;5757864
1503;N;A;10;404691;5757242
1504;N;A;10;404679;5757235
1520;N;A;10;405201,41;5756660,02
1534;N;A;10;412548;5752657
1606;N;A;10;405584,255;5756402,118
1607;N;A;10;405620,258;5757111,832
1612;N;A;10;407371;5757801
1708;N;A;10;407417;5756748
1707;N;A;10;406059;5758051
1716;N;A;10;398748;5756072
1712;N;A;10;399048;5756514
1722;N;A;10;406501;5751179
1753;N;A;10;406217;5758720
1740;N;A;10;406016;5756766
1749;N;A;10;406136;5757039
1752;N;A;10;399218;5756851
1726;N;A;10;409019;5757563
1720;N;A;10;407057;5757384
1735;N;A;10;404722;5758553
1750;N;A;10;405938;5757766
1728;N;A;10;405040;5757060
1747;N;A;10;407375;5751300
1833;N;A;10;407404;5751236
1846;J;A;10;405415;5756049
