LFDNR;EIGENTUM;Z_BEGR1;STATUS;BEH_ART;RECHTSWERT;HOCHWERT
385;PRI;N;A;10;401364;5759052
386;PRI;N;A;10;401422;5759022
406;PRI;N;A;10;401774,791;5757295,823
407;PRI;N;A;10;401752,8;5757324,811
408;PRI;N;A;10;401664,834;5757263,837
409;PRI;N;A;10;401687,824;5757232,85
410;PRI;N;A;10;401760,799;5757427,77
411;DB;N;A;10;403092,291;5757971,533
412;DB;N;A;10;405335;5766536
414;PRI;N;A;10;401385;5753375
438;PRI;N;A;10;398241;5753703
452;PRI;N;A;10;410656;5761808
465;PRI;N;A;10;407157,525;5751017,21
466;PRI;N;A;10;407310,465;5751040,199
467;PRI;N;A;10;407454,407;5750988,217
468;VER;N;A;10;407484,395;5751000,211
277;NRW;N;A;10;405125,472;5757576,658
416;PRI;N;A;10;402208;5753561
423;PRI;N;A;10;403094,21;5754920,741
425;PRI;N;A;10;402962,259;5754771,802
495;PRI;N;A;10;406022,116;5757715,587
464;PRI;N;A;10;407021,567;5750616,371
471;PRI;N;A;10;407352,451;5751203,134
276;NRW;N;A;10;405127,471;5757564,662
382;NRW;N;A;10;402523,527;5758571,303
393;PRI;N;A;10;399201,787;5756869,031
394;PRI;N;A;10;399494,675;5756997,975
404;WHN;N;A;10;401323;5758330
418;PRI;N;A;10;402635;5753724
419;PRI;N;A;10;402613;5753718
443;PRI;J;A;10;410562;5760401
444;PRI;N;A;10;411507;5761399
447;PRI;N;A;10;411081;5759370
482;PRI;N;A;10;405398,219;5751107,2
391;PRI;N;A;10;399269,761;5756866,031
403;WHN;N;A;10;401458;5758234
413;BUND;N;A;10;401386;5753214
415;PRI;N;A;10;401386;5753356
799;PRI;N;A;10;399347,731;5756879,024
985;PRI;N;A;10;406583,877;5757144,806
1122;PRI;N;A;10;405898,089;5754538,848
1123;PRI;N;A;10;405925,079;5754549,843
1124;PRI;N;A;10;405917,082;5754575,833
1352;PRI;N;A;10;406388,956;5757235,773
1125;PRI;N;A;10;405908,086;5754601,823
383;BUND;N;A;10;402049;5759473
387;PRI;N;A;10;398824,909;5755862,433
396;BUND;N;A;10;400423;5755488
397;BUND;N;A;10;400200;5756016
398;BUND;N;A;10;400200;5755912
417;PRI;N;A;10;402651;5753726
420;PRI;N;A;10;402839;5753919
422;PRI;N;A;10;403121,201;5754992,712
473;PRI;N;A;10;407252,495;5751447,04
477;KIR;N;A;10;406756,68;5750800,303
591;PRI;N;A;10;405988,993;5751469,049
592;PRI;N;A;10;406002,987;5751438,061
593;PRI;N;A;10;406121,957;5752320,716
594;KRA;N;A;10;406027,984;5751763,934
613;NRW;N;A;10;404683;5762514
616;NRW;N;A;10;405061,579;5761225,214
1025;PRI;N;A;10;411871;5754034
1098;PRI;N;A;10;407043;5755136
1108;PRI;N;A;10;406826;5754936
1109;PRI;N;A;10;401790;5761106
615;NRW;N;A;10;405146,546;5761227,211
617;PRI;N;A;10;405245,503;5761112,254
620;PRI;N;A;10;404573,757;5760676,439
621;PRI;N;A;10;404561,761;5760671,441
1366;NRW;N;A;10;404987;5759131
1387;KIR;N;A;10;407381,599;5758615,215
1416;PRI;N;A;10;408457,227;5760956,275
595;KRA;N;A;10;405993,001;5751951,862
606;PRI;N;A;10;406162,127;5760460,497
614;NRW;N;A;10;404693;5762508
1026;PRI;N;A;10;412662;5752616
1091;PRI;N;A;10;407128;5754902
1092;PRI;N;A;10;406956;5754601
1093;PRI;N;A;10;407371;5754612
1118;PRI;N;A;10;405957,065;5754434,887
597;PRI;N;A;10;407956,217;5751383,052
598;PRI;N;A;10;408743,906;5751199,111
603;PRI;N;A;10;408479,234;5761647,999
604;PRI;N;A;10;408238,304;5760536,443
1030;PRI;N;A;10;412275;5752197
1119;PRI;N;A;10;405908,084;5754450,882
1121;PRI;N;A;10;405888,093;5754511,859
608;PRI;N;A;10;403827,067;5761198,245
619;PRI;N;A;10;404138,953;5761581,089
1107;PRI;N;A;10;406839;5754948
1120;PRI;N;A;10;405897,089;5754483,87
1656;NRW;N;A;10;406134,088;5758345,339
1699;PRI;N;A;10;407695;5757695
1704;UNI;N;A;10;404336,786;5757576,667
618;PRI;N;A;10;405324,469;5761016,29
1096;PRI;N;A;10;406944;5755047
1097;PRI;N;A;10;406994;5755074
1113;PRI;N;A;10;400098;5762315
1114;PRI;N;A;10;400279;5761377
1432;KRA;N;A;10;405515,347;5758900,129
1506;PRI;N;A;10;407805,488;5761372,119
1507;PRI;N;A;10;407823,48;5761352,126
1561;PRI;N;A;10;407711,461;5758357,311
1598;KIR;N;A;10;398638;5753672
1619;PRI;N;A;10;403854,994;5758094,468
1672;PRI;N;A;10;405356,283;5753715,185
429;PRI;N;A;10;402347;5754340
395;BUND;N;A;10;400415;5755438
472;PRI;N;A;10;407186,518;5751245,119
1490;PRI;N;A;10;405079,437;5755500,48
1491;PRI;N;A;10;405057,439;5755281,567
1493;KRA;J;A;10;404710,556;5754481,889
1496;WHN;N;A;10;406261,883;5751307,107
1497;PRI;N;A;10;406185,983;5754958,68
1555;PRI;N;A;10;404990,506;5757010,883
1563;KIR;N;A;10;402339;5754302
1571;PRI;N;A;10;403870,012;5759306,99
1573;PRI;N;A;10;404495,669;5755581,454
199;NRW;N;A;10;404962;5757725
1611;PRI;N;A;10;403016,273;5756261,211
1620;KRA;N;A;10;401245;5748328
1622;PRI;N;A;10;407136;5757492
1642;NRW;N;A;10;404951;5757656
1702;PRI;N;A;10;405146;5753810
427;PRI;N;A;10;402416;5754136
399;PRI;N;A;10;402362;5758284
1513;PRI;N;A;10;405389,365;5757535,67
1565;KIR;N;A;10;401712;5754314
1566;PRI;N;A;10;401778;5754299
1570;PRI;N;A;10;405980;5751582
1572;PRI;N;A;10;406768,833;5758235,373
1603;STF;N;A;10;406493;5757898
1625;KRA;N;A;10;400989;5748356
1648;PRI;N;A;10;406736,804;5756673,993
1661;NRW;N;A;10;404222,827;5757451,718
1663;UNI;N;A;10;403894,963;5757590,669
1664;UNI;N;A;10;403813,001;5757771,598
1665;UNI;N;A;10;403926,951;5757621,656
1666;UNI;N;A;10;403772,027;5758100,467
1667;PRI;N;A;10;403446,164;5758566,29
1681;NRW;N;A;10;404940,634;5761439,132
1682;UNI;N;A;10;403556,103;5757748,613
1683;UNI;N;A;10;403465,138;5757695,636
1693;PRI;N;A;10;406394;5759464
1698;PRI;N;A;10;404565,652;5756045,267
1514;PRI;N;A;10;405658,274;5758143,428
1544;PRI;N;A;10;406390;5756035
1556;PRI;N;A;10;403641,969;5754159,028
1562;KIR;N;A;10;404598,596;5754318,953
1564;PRI;N;A;10;402423;5754134
1604;STF;N;A;10;404585,717;5758809,176
1623;KRA;N;A;10;401050;5748422
1624;KRA;N;A;10;401279;5748411
1630;PRI;N;A;10;405430,331;5757013,875
1676;VER;N;A;10;404044,883;5757029,887
1680;PRI;N;A;10;407016,672;5755808,331
1489;PRI;N;A;10;405840,139;5755690,395
1494;KRA;N;A;10;404756,538;5754484,887
1502;PRI;N;A;10;406107,109;5758788,166
1511;PRI;N;A;10;407042;5757297
1542;PRI;N;A;10;406626,839;5756275,152
1560;PRI;N;A;10;407827,412;5758286,336
1575;PRI;N;A;10;407046,661;5755826,323
1587;PRI;N;A;10;407367,41;5749486,806
1595;PRI;N;A;10;405101,521;5759268,988
1596;PRI;N;A;10;406015;5756573
1601;PRI;N;A;10;405343,377;5757374,734
1610;PRI;J;A;10;405148,401;5755218,591
1617;PRI;N;A;10;405167,45;5757430,715
1618;NRW;N;A;10;404918;5757696
1631;NRW;N;A;10;405353,385;5757696,607
1643;UNI;N;A;10;405219;5757816
1644;UNI;N;A;10;405232;5757831
1650;NRW;N;A;10;406706;5757617
1651;PRI;N;A;10;406255,988;5756336,133
1657;PRI;N;A;10;404754,592;5756809,964
1675;NRW;N;A;10;406300;5757714
1677;KIR;N;A;10;407110,554;5751624,972
1694;NRW;N;A;10;405100,462;5757019,878
1695;PRI;N;A;10;404887,519;5755732,389
1696;VER;N;A;10;406223;5759769
424;PRI;N;A;10;402982,256;5754934,738
1543;PRI;N;A;10;406347;5756207
1547;PRI;N;A;10;405942,041;5753004,454
1552;PRI;N;A;10;404531,75;5759365,957
1553;PRI;N;A;10;404519,755;5759374,954
1554;NRW;N;A;10;404808;5757800
1582;KIR;N;A;10;406504,785;5751244,127
1616;NRW;N;A;10;405165,452;5757464,701
1641;PRI;N;A;10;405250,424;5757620,639
1647;NRW;N;A;10;405936,151;5757738,579
1655;KIR;N;A;10;406564,918;5758409,308
1673;KRA;N;A;10;405860,17;5757388,719
1684;UNI;N;A;10;403672,046;5757428,738
1685;UNI;N;A;10;403221,246;5758241,423
1495;PRI;N;A;10;405156,365;5753860,13
1512;PRI;N;A;10;405898,162;5757612,63
1515;PRI;N;A;10;406061,079;5756943,894
1516;PRI;N;A;10;405954,123;5756997,873
1517;PRI;N;A;10;405628,265;5757450,698
1518;PRI;N;A;10;405848,177;5757448,696
1568;STF;N;A;10;405143,499;5759011,09
1569;STF;N;A;10;405143,498;5758999,095
1577;PRI;N;A;10;406996,594;5751326,09
1581;PRI;N;A;10;404235,733;5754193,005
1653;NRW;N;A;10;406468;5758025
1654;KIR;N;A;10;406553,923;5758410,308
1709;STF;N;A;10;404159;5759394
1748;PRI;N;A;10;404832;5759682
1739;KIR;J;A;10;404029;5749168
1824;NRW;N;A;10;402091;5749808
1718;PRI;N;A;10;405486;5756814
1738;PRI;N;A;10;408928;5756184
1832;PRI;N;A;10;406440;5751487
1834;PRI;N;A;10;407402;5751240
1847;PRI;N;A;10;410679;5760653
1858;PRI;;A;10;408299;5756458
1880;PRI;N;A;10;412487;5753236
1874;PRI;N;A;10;407219;5754832
1870;PRI;N;A;10;409487;5752207
1875;PRI;N;A;10;411945;5754090
1878;PRI;N;A;10;412280;5753504
1907;PRI;N;A;10;406377;5757135
1856;PRI;N;A;10;406318;5761640
1860;PRI;N;A;10;402898;5763080
1876;PRI;N;A;10;407306;5754597
1882;PRI;N;A;10;412194;5752263
1855;PRI;N;A;10;406325;5761721
1857;PRI;;A;10;408321;5756497
1859;PRI;;A;10;408496;5756442
1863;PRI;N;A;10;398463;5753736
1879;PRI;N;A;10;412294;5753485
